Peptide,Protein,Replicate,Precursor Mz,Precursor Charge,Product Mz,Product Charge,Fragment Ion,Retention Time,Area,Background,Peak Rank
SM 18:1/16:1,SM,S1B,701.5,1,184.1,1,Ion [184.100549/184.100549],5.56,1445520,31788,1
SM 18:1/16:1,SM,S2B,701.5,1,184.1,1,Ion [184.100549/184.100549],5.55,1658477,36969,1
SM 18:1/16:1,SM,S3B,701.5,1,184.1,1,Ion [184.100549/184.100549],5.54,1321176,22352,1
SM 18:1/16:1,SM,S4B,701.5,1,184.1,1,Ion [184.100549/184.100549],5.55,1575648,28569,1
SM 18:1/16:1,SM,S5B,701.5,1,184.1,1,Ion [184.100549/184.100549],5.57,1743706,30037,1
SM 18:1/16:1,SM,S6B,701.5,1,184.1,1,Ion [184.100549/184.100549],5.58,1218380,23445,1
SM 18:1/16:1,SM,S7B,701.5,1,184.1,1,Ion [184.100549/184.100549],5.54,1207928,20176,1
SM 18:1/16:1,SM,S8B,701.5,1,184.1,1,Ion [184.100549/184.100549],5.56,1489107,33359,1
SM 18:1/16:1,SM,S9B,701.5,1,184.1,1,Ion [184.100549/184.100549],5.53,1532761,32467,1
SM 18:1/16:1,SM,S10B,701.5,1,184.1,1,Ion [184.100549/184.100549],5.56,1668547,31784,1
SM 18:1/16:1,SM,S11B,701.5,1,184.1,1,Ion [184.100549/184.100549],5.55,1522259,31226,1
SM 18:1/16:1,SM,S1C,701.5,1,184.1,1,Ion [184.100549/184.100549],5.55,2537786,51480,1
SM 18:1/16:1,SM,S2C,701.5,1,184.1,1,Ion [184.100549/184.100549],5.53,2157634,44878,1
SM 18:1/16:1,SM,S3C,701.5,1,184.1,1,Ion [184.100549/184.100549],5.56,2408199,50565,1
SM 18:1/16:1,SM,S4C,701.5,1,184.1,1,Ion [184.100549/184.100549],5.53,2277776,51721,1
SM 18:1/16:1,SM,S5C,701.5,1,184.1,1,Ion [184.100549/184.100549],5.54,2128574,35289,1
SM 18:1/16:1,SM,S6C,701.5,1,184.1,1,Ion [184.100549/184.100549],5.55,2492107,55119,1
SM 18:1/16:1,SM,S7C,701.5,1,184.1,1,Ion [184.100549/184.100549],5.53,1803475,37690,1
SM 18:1/16:1,SM,S8C,701.5,1,184.1,1,Ion [184.100549/184.100549],5.55,2496702,57521,1
SM 18:1/16:1,SM,S9C,701.5,1,184.1,1,Ion [184.100549/184.100549],5.56,2141059,39231,1
SM 18:1/16:1,SM,S10C,701.5,1,184.1,1,Ion [184.100549/184.100549],5.58,2422577,54344,1
SM 18:1/16:1,SM,S11C,701.5,1,184.1,1,Ion [184.100549/184.100549],5.54,2213905,51042,1
SM 18:1/16:1,SM,S1D,701.5,1,184.1,1,Ion [184.100549/184.100549],5.54,2057504,50752,1
SM 18:1/16:1,SM,S2D,701.5,1,184.1,1,Ion [184.100549/184.100549],5.56,1978195,45191,1
SM 18:1/16:1,SM,S3D,701.5,1,184.1,1,Ion [184.100549/184.100549],5.55,1878570,35875,1
SM 18:1/16:1,SM,S4D,701.5,1,184.1,1,Ion [184.100549/184.100549],5.52,1753361,32573,1
SM 18:1/16:1,SM,S5D,701.5,1,184.1,1,Ion [184.100549/184.100549],5.55,2072553,43202,1
SM 18:1/16:1,SM,S6D,701.5,1,184.1,1,Ion [184.100549/184.100549],5.58,1984027,43898,1
SM 18:1/16:1,SM,S7D,701.5,1,184.1,1,Ion [184.100549/184.100549],5.56,2096717,45089,1
SM 18:1/16:1,SM,S8D,701.5,1,184.1,1,Ion [184.100549/184.100549],5.53,2531384,66634,1
SM 18:1/16:1,SM,S9D,701.5,1,184.1,1,Ion [184.100549/184.100549],5.56,2035117,46589,1
SM 18:1/16:1,SM,S10D,701.5,1,184.1,1,Ion [184.100549/184.100549],5.55,1695502,53352,1
SM 18:1/16:1,SM,S11D,701.5,1,184.1,1,Ion [184.100549/184.100549],5.53,1688272,37945,1
SM 18:1/16:1,SM,Blank_1,701.5,1,184.1,1,Ion [184.100549/184.100549],5.46,543,1184,1
SM 18:1/16:1,SM,Blank_2,701.5,1,184.1,1,Ion [184.100549/184.100549],5.66,101,593,1
SM 18:1/16:1,SM,TQC_1,701.5,1,184.1,1,Ion [184.100549/184.100549],5.53,2090851,44308,1
SM 18:1/16:1,SM,TQC_2,701.5,1,184.1,1,Ion [184.100549/184.100549],5.51,1986164,39882,1
