lipids,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
TG 16:0/20:3/22:6,15.28001582,14.21891215,15.18612665,15.81304187,14.40549818,15.34863475,14.79401415,13.07333075,15.01031163,13.85236252,15.67525543,14.26920593,14.70080637,15.04206354,15.62428371,13.94346574,15.06130541,19.6549166,16.68498049,16.15207079
TG 18:1/18:2/22:6,15.38861336,14.39891376,15.04507671,15.89897296,14.40878129,14.83072291,15.43922316,13.6609504,15.19193161,13.99186105,15.27773026,14.48008765,14.80185224,15.39921014,15.12268163,14.0982238,15.21056515,19.29165593,16.70541396,16.15537866
TG 18:1/20:4/20:4,15.25686046,14.4583713,14.29458163,15.98472133,14.53925309,14.91551689,15.575424,13.55310106,15.2484217,13.56662466,15.25854772,15.24304725,14.93550691,15.37742527,14.88593457,14.04430219,15.11710182,19.55079356,16.3723349,16.19314305
TG 18:2/18:2/22:5,17.15535622,17.44623201,17.9413154,17.84269346,16.4509306,17.80986455,16.65444723,16.78623741,18.06200587,17.02831746,18.47319626,17.11814442,18.18002238,17.94606635,17.51068601,16.73057919,16.84864641,19.92760624,16.62505394,18.42122891
TG 19:0/20:0/20:1,12.83402494,13.55717218,15.72908333,15.31090208,14.85861808,14.19938575,15.31792855,15.05355148,14.12232593,13.779327,14.4213791,13.10893236,14.46651758,15.6360182,14.16226512,14.00018817,12.30697729,18.84852606,14.97283232,15.17772867
TG 17:0/20:1/22:1,13.75742708,14.1948289,14.97932953,13.2373831,14.76908095,14.70226359,12.72702654,15.0289461,14.36517053,15.05610787,14.44032812,14.17778067,13.672322,14.91839951,14.53834088,13.03251425,15.16864592,15.98446562,12.58938207,14.63068796
TG 18:1/20:3/21:0,14.40665028,13.74741039,13.77096468,13.08425657,14.10558297,14.45344756,14.20531493,13.85915174,14.22965901,14.19540864,14.23453895,13.57911196,14.16123844,14.50344235,14.3527312,13.09921612,14.75463152,18.00268722,13.28266548,14.10390945
TG 18:1/19:0/22:4,15.03588451,13.58336194,13.87852579,13.92431908,13.78428166,14.35664205,14.63681501,13.08718638,14.59838961,14.47808189,13.71872505,13.98386955,14.28610036,15.26062768,14.46722754,13.08927164,15.18374089,17.57304682,13.63626572,15.21785134
TG 18:2/20:4/22:4,13.02227562,12.21856614,12.49071455,14.53268189,11.8763374,12.45156921,14.07460553,10.64615003,12.97790186,11.33529012,12.31991268,12.56491815,12.60756715,12.18854629,13.08480731,10.87707269,12.75912462,13.99858159,15.96323217,13.64701341
TG 18:1/20:4/22:6,14.21024579,12.661861,13.69145259,13.53148779,13.28489351,13.02053001,13.99555976,12.76633649,13.86242078,13.00074542,12.63365157,13.50472612,13.85502686,14.42664392,14.42066074,12.81227982,14.50043621,17.15802489,15.4902779,14.2216435
TG 16:0/22:5/22:6,13.04917076,12.15208989,11.22318884,14.30378309,10.36858595,12.77552727,12.48024262,11.3971998,13.15402924,11.60347237,12.93475935,11.52442141,12.71015567,10.6091499,13.28346998,11.33672951,11.72334661,15.14597891,15.41539936,13.80018713
TG 18:2/20:3/22:6,13.37284503,12.47918021,11.22695906,14.51542652,11.47836714,12.7424647,13.28153427,10.57381907,13.30636446,11.70407566,13.48188654,13.19541284,11.56267899,12.74336002,12.3433869,11.71957443,11.81765533,16.61379008,14.84376132,12.51368554
TG 18:3/20:3/22:5,13.34625545,12.47039575,12.25417855,14.53459548,12.34610254,12.46351979,13.24261224,10.6908841,13.33698303,11.80319427,13.4327736,13.29540989,11.66028745,12.76078967,12.29897151,11.90986884,11.9140367,16.3515291,14.89985861,12.66657325
TG 18:2/20:4/22:6,11.93799719,10.86851699,12.39193388,13.3886947,11.8387083,11.66039753,11.89205848,11.89490719,12.24245606,12.70613519,11.6983296,12.01159111,12.32954262,11.22549601,12.46760228,12.36382269,10.86891292,14.03173359,13.35432951,13.15165042
TG 18:3/20:4/22:5,11.88713855,10.76069719,12.07868387,13.3628957,11.71442163,11.47539954,12.06095216,11.86866822,12.41370799,12.58160547,12.73216057,11.79440875,12.20381138,10.71133435,12.36919624,12.19271727,10.55240748,15.26424822,13.26732321,13.2484306
TG 18:1/20:0/22:1,13.36251451,15.45385502,16.48709293,17.30000388,15.32332622,14.8246201,16.73520827,16.42363716,15.35069695,14.45012885,15.40772441,14.14660921,15.61871378,16.23276544,15.034684,14.64694791,12.92796389,18.24897696,15.11688984,14.90302044
TG 18:1/20:3/22:0,13.0922694,13.19574698,14.80208706,15.97902595,13.98839218,14.16965551,15.48766132,14.69110181,13.69686018,12.73082642,13.90712431,13.20441739,14.73197969,14.25469736,13.69447434,13.51050254,11.79249937,17.3111787,14.58805182,14.48564684
TG 18:0/20:1/22:4,13.37691959,12.98009698,13.67135092,15.73194632,13.31238821,13.62053285,15.19003803,13.72305788,13.76882431,12.56743581,13.52041423,13.70597654,14.46223381,14.05713147,13.61790139,13.48245079,12.54520346,17.43480659,14.644502,14.44141714
TG 18:0/20:3/22:3,15.25918345,15.38339001,15.69619883,17.01585505,14.80464235,15.26211311,16.37621773,14.56541038,16.17860024,15.10441434,15.27369838,15.37845265,15.7421672,16.46302728,15.51379003,14.42394756,15.59256059,15.75302987,15.4704262,15.42431911
TG 18:1/20:1/22:4,15.06392596,15.38287997,15.65794433,17.01565293,14.80026619,15.27590503,16.56166041,14.54801317,16.17897876,15.11395062,15.27803947,15.37629336,15.75136187,16.4713781,15.61239597,14.39959466,15.60408611,15.79236527,15.44661527,15.42210284
TG 18:0/20:3/22:4,12.91372464,11.68115674,12.46139363,14.14795967,11.12869593,11.84264972,14.27833893,11.16885931,12.84100703,11.86036158,11.97187159,12.89999144,12.91147198,13.27628536,12.83988418,11.94069777,12.45012753,16.39821247,14.3517567,13.77842381
TG 18:1/20:2/22:4,14.80246921,14.60191179,14.14515383,16.64476016,14.19272917,14.8677714,16.0354311,13.8182936,15.23649005,13.96443703,14.64611091,14.77864165,14.53355802,15.70890975,14.29039498,14.10329098,14.97510375,17.39606277,16.23735385,14.43877051
TG 18:1/20:4/22:3,13.76355721,14.07593016,16.15145373,15.60201912,15.24165903,15.11831588,15.69069402,15.39114031,14.66552337,14.07466494,15.00263209,13.75147055,15.15522567,16.15611792,14.93873146,14.77141258,13.23809684,19.60552749,15.33138791,15.761001
TG 18:0/20:4/22:4,13.23843599,11.76443047,12.3766902,14.19230477,11.47515566,12.17510059,14.14420287,10.9913799,12.87800043,10.95050042,11.43896545,12.52994717,12.77288106,13.15016985,13.23895459,12.35247334,12.44584153,17.05654272,14.99577804,13.36357879
TG 18:1/20:3/22:4,15.27472672,14.5073719,14.42240305,17.06512867,13.92463518,14.36857454,16.2858615,14.30314358,15.92878961,13.77416386,14.99823839,15.54908735,15.07295311,16.12940715,14.58169925,13.84326068,15.06796808,15.12196406,15.93718927,14.7974086
TG 18:2/20:1/22:5,15.37082281,14.38494771,14.41266689,17.040865,13.85049767,14.39584771,16.3187762,14.25324418,15.88803035,13.76951202,15.25016399,15.14035171,14.95619771,15.71299636,14.79292336,13.89359655,15.13839365,15.83375445,16.72906624,14.95138507
TG 18:2/20:3/22:4,16.02809648,14.7704858,14.66316699,16.95638519,14.65271175,14.64024426,16.08152795,13.95415146,16.37626342,14.27479885,14.39074518,15.57429213,15.07223021,15.69933609,14.72261201,13.82055466,15.62639757,17.33094537,16.49360268,15.51314515
TG 18:1/22:4/22:5,13.38166261,11.28698176,12.30514389,14.42049444,10.08655375,12.00250104,14.39812536,10.66738398,13.49553859,10.97362216,12.05254271,12.58796352,12.02968321,12.68719259,12.53357137,11.05210739,12.94874836,12.34981848,14.72461717,13.19402788
TG 20:3/20:4/22:4,10.75540029,9.739001248,10.7481894,13.11297118,8.817716617,12.07432973,12.69169934,10.08897414,10.74939726,8.202003937,11.75605586,11.42098577,11.33608977,11.17505469,11.15214061,10.42101249,10.7445035,13.80053458,13.5556185,11.39721608
TG 18:2/22:4/22:5,13.35525711,11.75166616,11.52355867,14.29491078,11.19580708,11.60402225,13.02202882,10.25498361,12.646105,11.87468138,12.80760382,12.54501854,12.50337993,11.03923056,12.35178248,10.28676937,12.23619453,11.84236836,15.12366134,12.80381876
TG 18:2/22:5/22:6,10.25739725,12.03038814,10.86121049,13.75936659,10.91987085,11.92257775,11.76062964,10.17409224,12.69932958,10.60444944,13.5217257,12.62645309,11.94420866,10.1095003,12.42009096,9.769202247,11.59726194,10.49857609,13.61112819,11.81793526
TG 18:0/22:0/22:4,12.78457365,13.36623526,13.27875132,16.70731611,12.26632291,12.71796517,15.70862212,13.73499998,12.87405816,11.31947029,14.00920762,12.92099458,13.38621458,12.93934539,13.8644435,12.10210598,10.70646649,11.14447434,14.51510509,11.92114152
TG 18:1/22:1/22:2,12.47632604,13.30468277,13.99196045,17.04368949,11.00456929,12.27804963,15.61604796,13.79999786,12.48426638,12.42255449,13.25433941,13.35187313,13.15053006,12.77956768,11.95072764,12.27362857,9.791442769,13.33896453,13.10406608,12.20799869
TG 18:1/22:0/22:4,12.42774712,13.92865289,13.97628811,17.11768624,12.25039732,12.71614486,15.70792972,13.39779566,12.65229137,12.01483045,12.86661117,12.40210287,13.57600849,13.12582991,12.87744704,11.43854546,10.93611322,13.32312091,13.42378337,11.42011209
TG 18:1/22:1/22:5,11.94959129,12.91613127,11.78654473,15.8610059,11.76969687,13.1817156,14.46475922,12.34510837,12.38560057,10.81363619,13.15562494,13.19189789,12.84927193,12.44024579,13.24839727,11.23228206,11.57553697,13.28256749,14.64313332,12.31348396
TG 20:1/20:4/22:4,13.0081868,12.14683035,12.01040528,14.98349309,11.62389991,11.99947745,14.38735157,11.84216569,13.5524957,11.23645809,12.2918182,12.92734627,12.68327629,13.44912279,11.80018624,11.27577221,12.40063707,13.6176054,14.94555152,12.84042824
